8th Cross, V V Mohalla, Mysore  [Sept 13, 1997]  
anbirundAlE pOdum  [kEdAra gowLa] L
anbon annaiyE  [shrI] L
anbu kondEnE  [Arabhi]  
anbu mAlai  [kAmavardhani] L
anbu nilaiyai  [paraju] L
anbu sheidiDum  [shrIranjani] L
anbu valaiyinilE  [dhanyAsi] L
anbu varam  [bEgaDa] L
anbu vellamE  [shubhapantuvarALi] L
anbukkE nAn  [bAgEshrI] L
anbuLLa karpakamE  [karnATakadEvagAndhAri] L
anbuLLa rAdhA  [punnAgavarALi] L
aNDa bhagiraNDa  [unknown] L
anda nAL  [Arabhi/hamsAnandi,Hamsadhvāni,Haṁsānandi,hamsAnandi] L
anda nAL ini varumO  [Arabi] L
anda rAma sowndaryam  [kEdAragowLa,kEdaragowLa]  
ANDAL kalyANam (minnal koDiyO)  [rAgamAlika]  
ANDALaip-pOl  [kAmbhOji] L
andamadE paravasha (bhAvgIt)  [naTabhairavi] L
ANDaruL paramporuLE  [kalyANi] L
aNDattaduvE paramAnma  [unknown] L
ANDavan darishanamE  [jOnpuri] L
ANDavan nIyE  [mAyAmALavagauLa] L
ANDavanai nambu  [sAma] L
ANDavanai vENDiDuvOm  [bhairavi] L
ANDavanE sharaNam  [shuddhadhanyAsi] L
ANDavanE unai  [SaNmukhapriya] L
ande nirNaya  [saurASTra] L
andE nirNayisidaru  [mOhana] L
andhakAri  [Sahānā,sahAnA]  
andhakAsura  [sahAnA] L
andi nEramnadik-karaiyOram  [bhairavi] L
andi vELai azhagu  [kAmavardhani] L
andigallade  [mukhAri] L
ANDik-kOla  [cArukEsi] L
ANDik-kOlam pUNDavanE  [rAgAmAlikA] L
andinda nA  [kalyANi] L
aNDip-paNiya vandEnE  [yadukulakAmbhOji] L
AndOLika vAhanE  [Anandabhairavi,Ānandabhairavi] L
andri ulagam  [sindhubhairavi]  
anduNDaka nE vEga  [kAmavardhani] L
Ane banditammamma  [shrI] L
anEkAthmanE  [vijayanAgari,vijayanagari] L
angan mA gnAlattu  [yamunAkalyANi]  
anganeyarella  [kAmbhOji] L
angAraka mangaLa  [rItigowLa] L
angarAkam  [Suraṭi,asAvEri,suruTi]  
Angarakam Ashrayamyaham  [Suraṭi,suraTi,suratti] L
angi toTTEne  [tODi] L
aNiattiDum tAi  [mArgahindOLa] L
anIshvaram  [cArukEshi] L
aNivAi annaipOl  [vAcaspati] L
anja varuvadum uNDO  [kApi] L
anjabEDa bEDalo  [rEvagupti] L
anjAdE nenjamE  [pAvani] L
anjAdu mun selvOmE  [tODi] L
anjal yAtake manave  [mukhAri] L
anjalAmO nenjE  [mukhAri] L
anjalenraruLvAi  [suvarNadIpaka] L
anjalenrE  [bilahari] L
